Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Number_of_saccades	Average_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Total_amplitude_of_saccades
Recording65	201911061147	Urban0	PedestrianZone_L	1	PedestrianZone_L	150301	774338	112486	332	339	251	161.48	87.16	4.85	1218.36
Recording66	202011051056	Urban0	FinancialSt_L	1	FinancialSt_L	150334	511585	131485	327	402	397	198.81	143.2	5.8	2302.38
Recording66	202011051056	Urban0	Metro_L	1	Metro_L	150428	760123	133610	334	400	391	175.5	117.89	5.43	2122.01
Recording66	202011051056	Urban0	Night_L	1	Night_L	150301	242366	135600	390	348	340	156.31	95.08	4.46	1517.52
Recording66	202011051056	Urban0	PedestrianZone_L	1	PedestrianZone_L	150334	987895	133225	325	410	389	188.41	125.74	5.87	2281.52
Recording67	202011051089	Urban0	FinancialSt_L	1	FinancialSt_L	150311	393398	75512	283	267	211	163.83	106.92	5.61	1183.2
Recording67	202011051089	Urban0	Metro_L	1	Metro_L	150390	614524	66724	284	235	167	160.21	109.3	4.96	828.64
Recording67	202011051089	Urban0	Night_L	1	Night_L	150251	807172	62174	309	201	157	168.06	134.91	5.34	837.7
Recording67	202011051089	Urban0	PedestrianZone_L	1	PedestrianZone_L	150372	152414	109630	330	332	296	151.49	95.43	4.72	1396.98
Recording68	201921160016	Urban1	FinancialSt_H	1	FinancialSt_H	150354	365346	100826	303	333	183	161.79	97.86	4.15	759.86
Recording68	201921160016	Urban1	Metro_H	1	Metro_H	150401	560228	79033	315	251	110	185.41	141.27	5.2	571.78
Recording68	201921160016	Urban1	Night_H	1	Night_H	150354	755736	107817	363	297	151	131.74	73.26	3.48	524.95
Recording68	201921160016	Urban1	PedestrianZone_H	1	PedestrianZone_H	150403	164730	102139	278	367	176	160.71	117.87	4.15	730.01
Recording69	202011051011	Urban1	FinancialSt_H	1	FinancialSt_H	150317	281025	126971	289	440	374	200.07	150.09	4.81	1799.45
Recording69	202011051011	Urban1	Metro_H	1	Metro_H	150367	769230	125887	315	400	341	157.82	113.13	3.75	1277.98
Recording69	202011051011	Urban1	Night_H	1	Night_H	150251	546808	127625	334	382	349	178.24	118.14	4.64	1620.28
Recording69	202011051011	Urban1	PedestrianZone_H	1	PedestrianZone_H	150317	977588	128291	322	399	369	181.97	164.95	4.68	1725.94
Recording70	202021040012	Urban1	FinancialSt_H	1	FinancialSt_H	150317	488863	125585	399	315	300	226.48	151.05	5.95	1785.81
Recording70	202021040012	Urban1	Metro_H	1	Metro_H	150384	702793	133452	432	309	287	218.81	152.13	5.78	1658.2
Recording70	202021040012	Urban1	Night_H	1	Night_H	150324	237438	129337	616	210	196	219	161.35	6.31	1236.68
Recording70	202021040012	Urban1	PedestrianZone_H	1	PedestrianZone_H	150407	918353	125442	275	456	434	218.09	163.43	5.94	2576.88
Recording71	202011061070	Urban0	FinancialSt_L	1	FinancialSt_L	150284	552583	119864	379	316	259	249.47	132.42	7.26	1880.03
Recording71	202011061070	Urban0	Metro_L	1	Metro_L	150401	950765	94163	252	374	231	179.87	164.2	4.64	1072.64
Recording71	202011061070	Urban0	Night_L	1	Night_L	150303	747660	93849	412	228	158	207.67	155.44	5.51	870.95
Recording71	202011061070	Urban0	PedestrianZone_L	1	PedestrianZone_L	150351	340321	127378	364	350	295	171.13	120.8	4.74	1397.72
Recording72	202011061054	Urban1	FinancialSt_H	1	FinancialSt_H	150284	1065945	95379	378	252	198	181.31	99.68	6.08	1203.13
Recording72	202011061054	Urban1	Metro_H	1	Metro_H	150418	841054	110025	470	234	184	198.07	130.04	6.78	1248.36
Recording72	202011061054	Urban1	Night_H	1	Night_H	150356	576918	120431	573	210	199	202.56	99.71	6.17	1227.74
Recording72	202011061054	Urban1	PedestrianZone_H	1	PedestrianZone_H	150401	324504	118019	447	264	243	238.73	122.58	7.7	1871.23
Recording73	202031061007	Urban0	FinancialSt_L	1	FinancialSt_L	150317	460686	112269	311	361	327	223.94	135.6	6.45	2107.83
Recording73	202031061007	Urban0	Metro_L	1	Metro_L	150384	959351	115921	368	315	296	199.24	142.79	6.08	1798.77
Recording73	202031061007	Urban0	Night_L	1	Night_L	150234	1183542	101792	301	338	255	186.6	211.02	4.76	1213.27
Recording73	202031061007	Urban0	PedestrianZone_L	1	PedestrianZone_L	150317	724583	108474	296	366	346	204.25	132.17	5.95	2057.8
Recording74	202011061101	Urban1	FinancialSt_H	1	FinancialSt_H	150334	913189	79003	280	282	225	200.27	175.56	5.89	1324.57
Recording74	202011061101	Urban1	Metro_H	1	Metro_H	150434	210854	96973	343	283	222	197.13	110.38	5.78	1283.24
Recording74	202011061101	Urban1	Night_H	1	Night_H	150234	695989	98236	334	294	234	211.68	180.87	6.5	1520.06
Recording74	202011061101	Urban1	PedestrianZone_H	1	PedestrianZone_H	150317	465642	99034	291	340	270	226.65	192.41	6.68	1804
Recording75	201911120162	Urban0	FinancialSt_L	1	FinancialSt_L	150301	583802	92364	279	331	279	159.89	106.91	4.42	1232.01
Recording75	201911120162	Urban0	Metro_L	1	Metro_L	150384	865517	106557	404	264	207	190.65	143.97	5.42	1122.44
Recording75	201911120162	Urban0	Night_L	1	Night_L	150251	1109261	109938	339	324	261	149.46	100.84	4.02	1049.87
Recording75	201911120162	Urban0	PedestrianZone_L	1	PedestrianZone_L	150351	249035	113310	297	382	303	161.52	98.19	4.65	1408.03
