Recording	Participant	Timeline	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Number_of_saccades	Average_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Total_amplitude_of_saccades
Recording31	202011260026	Urban0	Night_L	1	Night_L	150284	239513	124646	445	280	224	231.87	101.96	7.39	1655.04
Recording31	202011260026	Urban0	PedestrianZone_L	1	PedestrianZone_L	150300	449273	121872	374	326	284	218.62	120.28	7.16	2032.35
Recording32	201911080266	Urban1	FinancialSt_H	1	FinancialSt_H	150372	170470	109889	347	317	272	158.26	91.76	4.78	1299.53
Recording32	201911080266	Urban1	Metro_H	1	Metro_H	150401	879332	102737	374	275	224	182.83	107.17	5.35	1197.46
Recording32	201911080266	Urban1	Night_H	1	Night_H	150234	413751	106307	422	252	209	148.7	90.9	4.18	872.61
Recording32	201911080266	Urban1	PedestrianZone_H	1	PedestrianZone_H	150317	641695	101239	308	329	277	189.62	126.38	5.49	1520.46
Recording33	201811200120	Urban0	FinancialSt_L	1	FinancialSt_L	150300	199265	133509	428	312	289	212.26	137.15	6.23	1800.87
Recording33	201811200120	Urban0	Metro_L	1	Metro_L	150384	845176	135856	509	267	241	198.72	150.93	5.94	1430.95
Recording33	201811200120	Urban0	Night_L	1	Night_L	150251	434583	128877	421	306	275	251.18	148.43	8	2200.93
Recording33	201811200120	Urban0	PedestrianZone_L	1	PedestrianZone_L	150317	643258	134634	447	301	271	183.94	140.33	5.8	1573.09
Recording34	201711140916	Urban0	FinancialSt_L	1	FinancialSt_L	150301	576405	114068	361	316	260	203.07	112.37	7.45	1937.8
Recording34	201711140916	Urban0	Metro_L	1	Metro_L	150401	792888	124238	407	305	250	177.83	121.7	6.38	1593.79
Recording34	201711140916	Urban0	Night_L	1	Night_L	150284	140737	117832	334	353	287	195.78	121.04	7.29	2092.36
Recording34	201711140916	Urban0	PedestrianZone_L	1	PedestrianZone_L	150367	355218	123539	406	304	266	197.65	119.79	7.58	2017.41
Recording35	201811030511	Urban1	FinancialSt_H	1	FinancialSt_H	150284	1241595	107795	358	301	251	135	108.94	3.9	977.69
Recording35	201811030511	Urban1	Metro_H	1	Metro_H	150417	1016137	110965	310	358	295	146.23	90.92	4	1180.39
Recording35	201811030511	Urban1	Night_H	1	Night_H	150234	711850	118418	350	338	297	135.72	81.22	4.04	1199.26
Recording35	201811030511	Urban1	PedestrianZone_H	1	PedestrianZone_H	150367	449255	127575	359	355	317	139.07	87.23	3.86	1223.18
Recording36	202021150004	Urban0	FinancialSt_L	1	FinancialSt_L	150317	673468	39664	193	206	82	225.43	137.63	6.01	493.08
Recording36	202021150004	Urban0	Metro_L	1	Metro_L	150367	467947	63907	234	273	157	221.5	129.69	6.7	1052.61
Recording36	202021150004	Urban0	Night_L	1	Night_L	150251	895090	59114	230	257	117	212.2	160.94	4.95	579
Recording36	202021150004	Urban0	PedestrianZone_L	1	PedestrianZone_L	150387	194187	75986	263	289	180	202.96	116.43	5.74	1032.64
