video,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,unlabelled,video
PedestrianZone_H,0.25550285351477275,0.014147572917438428,0.3816352315689497,0.0005224270516904989,0.003023255425073876,0.0028481708641014862,2.1169827862982007e-05,0.001190866488849371,0.060069265006421374,0.00033053512920566745,0.11881044167222349,0.11423974231928104,0.00365166989269221,0.002491203677977821,0.005535565259358035,0.020817969836918512,0.00026096848682423304,0.00020747730462736605,0.00015039543252410038,0.0,
Night_H,0.3143330977081426,0.004152009904751315,0.49034848399447173,0.0009560257249689086,0.006908293800805487,0.008999394658167181,4.182958392014427e-05,0.001407113487180757,0.01176266752423425,0.00013633703333086253,0.027384414970062335,0.0014115383764073215,0.00013132533314390657,0.07626523906884444,0.0007474729809585006,0.04072539293170763,0.000166291416499889,0.00017379706326851662,0.00023146989968621096,0.0,
Night_L,0.28908350487258916,0.0043800245688483804,0.4314879338283146,9.447527775718802e-06,0.03582111775648785,0.010762548617802825,5.6421359095364075e-05,0.002857701816643195,0.022640086961266393,0.00010398843570610827,0.07819020872454076,0.0014962257502944415,3.4799434190695066e-05,0.05306068950802576,0.0034121075573015688,0.04698863607116684,0.0006296050504863332,5.2232609805714094e-05,0.0023038861041105563,0.0,
FinancialSt_L,0.25878870611732824,0.07498808112247421,0.37462992425645913,0.0012729635239118607,0.0019231849958005994,0.018411425525542133,0.000778858247698565,0.002905185226355746,0.18560691390103434,0.0012405770877591653,0.039103044640210576,0.003000981403257415,0.000494441716894753,0.006620972489830866,0.00031435975145332096,0.0002780666149976117,0.0018269854760551982,0.0028246125078223855,0.007982347864482963,0.0,
FinancialSt_H,0.22283749053077057,0.06464128797469672,0.3900196390010774,0.0006347239719710822,0.0004954111549577594,0.017762373554913287,0.0007164372437132545,0.0027145108474136686,0.16115293268201553,0.0015081355602489948,0.0400048375409647,0.0500264392199003,0.0033785000123511713,0.017345351148864492,0.00033126412664888084,0.0005065182004759331,0.0004812613476359863,0.001845868611358134,0.007957704710323928,0.0,
PedestrianZone_L,0.35453248677175325,0.014249943917578391,0.38269164816975765,0.0007430001162809854,0.002753095723946886,0.00299213096737546,3.610305891021058e-05,0.000964564270455162,0.0649269127707392,0.0007946313172474554,0.11443272437599279,0.009292245627629156,0.0006230223228618716,0.0011988614496637113,0.010100985018275664,0.022630572354556146,0.0020048906186971604,0.0004245387863969792,0.0002846298663077392,0.0,
Metro_H,0.03474807681626299,0.0005173972399137637,0.7459790011941783,1.1901290453973192e-05,5.4342347791025846e-05,1.208193446723775e-05,2.6421597669653654e-06,0.0010887485394192238,0.00023964710517004477,1.3149727015395767e-05,9.7481552453364e-05,0.19029347194964893,0.011324552619993914,0.0015206741608860567,0.0012286737206546683,0.0010711842841508443,0.00027964914689739717,0.0019641732135657055,0.0001703402330346342,0.0,
Metro_L,0.3103388592401274,0.00018825741913319654,0.6415563703179129,7.271403679840694e-06,0.00028849620351856025,3.1590202177293865e-06,8.916485636936648e-07,0.0006696512143392007,9.44491759032972e-06,1.8000115200737285e-08,2.5489448846758248e-06,0.01795938608292813,0.0009745455228056307,0.001882768978292883,0.009048214337143163,0.00023290734774988257,0.008192996720893318,0.000147799588774511,2.3883581426349698e-05,0.0,
